epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.522,1.26341,2.06224,1.61249,0.87514,0.2776,0.5317,0.25392,1.43203,2.8893,2.132,0.00064,0.00064,0.00064
2,737.199,1.31622,1.65509,1.54686,0.4373,0.46938,0.35795,0.12496,1.78105,2.91268,2.43364,0.00127426,0.00127426,0.00127426
3,1097.2,1.35702,1.55677,1.62369,0.41558,0.25743,0.22979,0.08967,2.35873,3.94646,2.82865,0.00188238,0.00188238,0.00188238
4,6085.72,1.39151,1.53297,1.58794,0.60306,0.56436,0.64427,0.33382,1.50587,1.95392,2.1259,0.0018812,0.0018812,0.0018812
5,6445.85,1.31811,1.3967,1.56455,0.72587,0.60891,0.71714,0.34697,1.55401,1.7988,2.36655,0.0018416,0.0018416,0.0018416
6,6800.42,1.3242,1.33455,1.58038,0.71491,0.55941,0.6263,0.31744,1.54033,1.96501,2.11818,0.001802,0.001802,0.001802
7,7163.83,1.317,1.2643,1.55413,0.48583,0.62681,0.53887,0.26629,1.55168,1.84533,1.92718,0.0017624,0.0017624,0.0017624
8,7514.31,1.28348,1.21331,1.54318,0.78503,0.66888,0.76969,0.40073,1.5581,1.40644,2.23858,0.0017228,0.0017228,0.0017228
9,7876.38,1.26283,1.16798,1.51286,0.71355,0.65359,0.74789,0.37024,1.68404,1.4639,2.21784,0.0016832,0.0016832,0.0016832
10,8232.22,1.2585,1.1477,1.51493,0.80201,0.74199,0.81105,0.43664,1.43022,1.33803,2.00436,0.0016436,0.0016436,0.0016436
11,11269.4,1.25266,1.13264,1.52116,0.74799,0.72277,0.78733,0.46157,1.40536,1.1834,2.07062,0.001604,0.001604,0.001604
12,11691,1.27396,1.09618,1.51121,0.84437,0.77723,0.86829,0.55365,1.23543,1.03643,1.72609,0.0015644,0.0015644,0.0015644
13,12004.5,1.2311,1.09494,1.48733,0.82297,0.78248,0.84495,0.54315,1.20266,1.01751,1.67063,0.0015248,0.0015248,0.0015248
14,12316.8,1.17697,1.07982,1.49778,0.74954,0.78521,0.79383,0.48649,1.26725,1.3712,1.82398,0.0014852,0.0014852,0.0014852
15,12627.5,1.17597,1.04127,1.48102,0.77178,0.80358,0.84655,0.5381,1.2077,1.09586,1.66741,0.0014456,0.0014456,0.0014456
16,12937,1.22872,1.0751,1.4738,0.73901,0.79208,0.83483,0.5189,1.24181,1.09764,1.70899,0.001406,0.001406,0.001406
17,13252.2,1.15634,0.99996,1.46403,0.7786,0.76733,0.85611,0.50269,1.31973,1.23122,1.74748,0.0013664,0.0013664,0.0013664
18,13570.3,1.19688,1.01998,1.46519,0.81829,0.77228,0.83084,0.56676,1.11006,1.05342,1.61556,0.0013268,0.0013268,0.0013268
19,13879,1.18074,0.94245,1.44679,0.81309,0.83168,0.8799,0.58911,1.12057,0.95809,1.58886,0.0012872,0.0012872,0.0012872
20,14187.1,1.1294,0.94218,1.42378,0.81454,0.76733,0.85312,0.55528,1.23281,1.01116,1.75744,0.0012476,0.0012476,0.0012476
21,14507.6,1.14336,0.94672,1.44188,0.78949,0.79834,0.86916,0.56226,1.13218,1.01545,1.61955,0.001208,0.001208,0.001208
22,14823,1.12057,0.93421,1.40008,0.80449,0.78218,0.8646,0.55959,1.15736,0.92165,1.69141,0.0011684,0.0011684,0.0011684
23,15163.3,1.11184,0.92296,1.42195,0.83662,0.78218,0.86999,0.57184,1.1743,0.88872,1.64284,0.0011288,0.0011288,0.0011288
24,15519.8,1.08319,0.88575,1.41722,0.83483,0.79703,0.88346,0.60242,1.07865,0.86048,1.54526,0.0010892,0.0010892,0.0010892
25,18582.8,1.08865,0.90136,1.40826,0.85943,0.75668,0.87152,0.57764,1.14627,0.88337,1.60924,0.0010496,0.0010496,0.0010496
26,18939,1.15871,0.94045,1.43384,0.76198,0.78218,0.8335,0.54051,1.16885,1.03012,1.67116,0.00101,0.00101,0.00101
27,19294.6,1.10133,0.90606,1.40042,0.84261,0.82178,0.8842,0.60316,1.08473,0.84944,1.57588,0.0009704,0.0009704,0.0009704
28,19695.2,1.0674,0.83686,1.38406,0.79316,0.78218,0.8209,0.53961,1.07178,0.94086,1.57605,0.0009308,0.0009308,0.0009308
29,20118.7,1.07276,0.84186,1.41561,0.87849,0.78744,0.88989,0.61879,1.03,0.82812,1.50241,0.0008912,0.0008912,0.0008912
30,20437,1.08523,0.91482,1.38175,0.78517,0.83229,0.87306,0.58786,1.11249,0.85174,1.60184,0.0008516,0.0008516,0.0008516
31,20749.3,1.08161,0.881,1.40165,0.83579,0.83168,0.90004,0.63003,1.03175,0.78581,1.49014,0.000812,0.000812,0.000812
32,21059.1,1.06485,0.82115,1.3949,0.79195,0.83168,0.87132,0.6178,1.04224,0.84657,1.51682,0.0007724,0.0007724,0.0007724
33,21371.9,1.05634,0.85648,1.37101,0.88313,0.77228,0.88447,0.62213,1.06475,0.78711,1.53633,0.0007328,0.0007328,0.0007328
34,21679.1,1.03532,0.83079,1.34181,0.79446,0.83168,0.88453,0.62602,1.04003,0.77797,1.53957,0.0006932,0.0006932,0.0006932
35,22007.9,1.01928,0.83124,1.32801,0.79922,0.84738,0.87094,0.6039,1.07259,0.82376,1.57268,0.0006536,0.0006536,0.0006536
36,22317,1.02607,0.8107,1.35502,0.80802,0.83168,0.87114,0.61237,1.02332,0.79986,1.51727,0.000614,0.000614,0.000614
37,22620.8,1.03024,0.79401,1.33969,0.81551,0.83158,0.88993,0.62626,1.02594,0.79923,1.4962,0.0005744,0.0005744,0.0005744
38,22937.5,1.03504,0.81047,1.35176,0.83167,0.80717,0.88826,0.63871,1.01783,0.75012,1.49607,0.0005348,0.0005348,0.0005348
39,23243.4,0.96797,0.76726,1.33164,0.83844,0.8221,0.88093,0.62346,1.01879,0.79757,1.50724,0.0004952,0.0004952,0.0004952
40,23547,1.00439,0.77826,1.33153,0.84246,0.79208,0.8827,0.63609,0.99933,0.79155,1.48283,0.0004556,0.0004556,0.0004556
41,23869.8,0.91759,0.80013,1.34064,0.78358,0.82453,0.85608,0.60103,1.02178,0.84223,1.53704,0.000416,0.000416,0.000416
42,24173.6,0.90437,0.75706,1.33196,0.82039,0.80198,0.86704,0.62386,0.99172,0.8393,1.50487,0.0003764,0.0003764,0.0003764
43,24472.7,0.86991,0.6849,1.33628,0.80737,0.82999,0.88212,0.64648,0.95498,0.7589,1.46951,0.0003368,0.0003368,0.0003368
44,24792.6,0.85553,0.68981,1.27681,0.81004,0.84443,0.87697,0.62303,0.98872,0.82416,1.48711,0.0002972,0.0002972,0.0002972
45,25113.8,0.87031,0.69969,1.297,0.86751,0.80693,0.88008,0.63107,0.95563,0.74848,1.45979,0.0002576,0.0002576,0.0002576
46,25425.5,0.85342,0.68925,1.26691,0.86343,0.82178,0.87665,0.62745,0.97362,0.77178,1.4586,0.000218,0.000218,0.000218
47,25734,0.82489,0.64783,1.28038,0.8541,0.80693,0.88012,0.63355,0.97577,0.77749,1.46557,0.0001784,0.0001784,0.0001784
48,26039.3,0.83405,0.6618,1.2884,0.87081,0.83424,0.89368,0.64477,0.96879,0.73645,1.4557,0.0001388,0.0001388,0.0001388
49,26349.7,0.82283,0.64203,1.25895,0.85758,0.83663,0.88575,0.64973,0.96502,0.73728,1.45942,9.92e-05,9.92e-05,9.92e-05
50,26651.7,0.81422,0.64362,1.26176,0.85743,0.82673,0.88699,0.64464,0.96823,0.74165,1.46297,5.96e-05,5.96e-05,5.96e-05
